sample_nr,A,B
1,0.0,0.4651011476039795
2,0.560011960893007,5.787304567951241
3,0.28610031389819274,12.686551263669717
4,0.7143144161910001,18.845843023005987
5,0.0,25.514875002996174
6,12.917864657452823,0.0
7,12.154674696925577,6.693312191203298
8,12.6775800772142,12.093559457661035
9,12.585349515447694,19.161681395091346
10,12.71109675761334,25.535499905456284
11,26.238820656135083,0.7396296486509677
12,26.494638723729913,6.06302830135397
13,25.814238310502983,12.155448457689825
14,26.733632558512323,18.48801320387927
15,25.663371792413557,25.785536570481334
16,39.77408649357536,0.6197509631817463
17,38.50994997018741,5.6626141307783575
18,38.63637644794497,12.106066244876192
19,39.06885383287653,19.156539362338957
20,38.708284243715916,25.106295174837065
21,50.97172400341899,0.0
22,51.40519906158645,5.9788821024146435
23,51.69044585145397,12.079180632061497
24,50.901548025407074,18.82126939541078
25,52.25902007877205,24.563339634750605
